################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'more dangerous than isis : the new top secret terror group targeting brit ##s'
GOLD SEQ: 	 b'more dangerous than isis : the new top secret terror group targeting brit ##s'
PRED SEQ:	 b'more dangerous than isis : the new top secret group targeting brit ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.034069695, 0.4114712, 0.42777866, 0.29293928, 0.34801832, 0.51768947, 0.24052444, 0.33700377, 0.25968724, 0.4076953, 0.3118866, 0.2682423, 0.18862367, 0.09018974]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'daring biker in motorway stunt is critically injured as jump goes horribly wrong'
GOLD SEQ: 	 b'daring biker in motorway stunt is critically injured as jump goes horribly wrong'
PRED SEQ:	 b'daring biker in motorway stunt is critically injured as jump goes wrong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07696095, 0.39098042, 0.44493085, 0.26136816, 0.19279684, 0.37839478, 0.37523466, 0.3074846, 0.09639417, -0.017434865, -0.008731134, 0.06550346, -0.053167716]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"isis on the high street : terrorists ' cotton ' ending up in uk clothes shops '"
GOLD SEQ: 	 b"isis on the high street : terrorists ' cotton ' ending up in uk clothes shops '"
PRED SEQ:	 b"isis on the high street : militant ' cotton ' ending up in uk clothes shops '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.23062295, 0.5836593, 0.6978719, 0.31005687, 0.43373728, 0.3552873, 0.05211487, -0.0632134, -0.029161625, 0.022842254, 0.06464351, 0.29610282, 0.42323595, 0.057760574, 0.20241234, 0.24445805, 0.017286442]
GOLD TOK: 	 []
PRED TOK: 	 [['militant']]
################################################################################
IN SEQ: 	 b'married teacher seduce ##d teen , 14 , and rom ##ped in her car multiple times'
GOLD SEQ: 	 b'married teacher seduce ##d teen , 14 , and rom ##ped in her car multiple times'
PRED SEQ:	 b'married teacher a teen , 14 , and rom ##ped in her car multiple times'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.34576064, 0.45417193, 0.34630752, 0.46956015, 0.28876624, 0.22200678, 0.079166576, 0.43153948, 0.63718307, 0.5807863, 0.52854097, 0.43125874, 0.1907017, 0.3533517, 0.6233814, 0.63731956]
GOLD TOK: 	 []
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'parents shocked by chilling discovery in footage of baby playing at home'
GOLD SEQ: 	 b'parents shocked by chilling discovery in footage of baby playing at home'
PRED SEQ:	 b'parents shocked by discovery in footage of baby playing at home'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.077996515, 0.24598652, 0.23262405, 0.20952499, 0.3927667, 0.27439523, 0.23621893, 0.39081877, 0.27079546, 0.2687519, 0.33850896, 0.31667554]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"wwe legend ric flair reveals the match that will ' steal the show ' at wrestlemania 33"
GOLD SEQ: 	 b"wwe legend ric flair reveals the match that will ' steal the show ' at wrestlemania 33"
PRED SEQ:	 b"wwe player ric flair reveals the match that will ' steal the show ' at wrestlemania 33"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.108341604, 0.2830243, 0.23782073, 0.3110183, 0.32146847, 0.7066027, 0.4138358, 0.4585193, 0.4344901, 0.3116054, 0.16717955, 0.5413592, 0.3109602, 0.21813333, 0.27040705, 0.073008955, 0.24231884]
GOLD TOK: 	 []
PRED TOK: 	 [['player']]
################################################################################
IN SEQ: 	 b'is this who shot big ##gie small ##s ? mystery man in video could be clue to rappers murder'
GOLD SEQ: 	 b'is this who shot big ##gie small ##s ? mystery man in video could be clue to rappers murder'
PRED SEQ:	 b'is this who shot big ##gie small ##s ? mystery person in video could be clue to rappers murder'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.07030024, 0.11454523, 0.2751943, 0.19509485, 0.35289538, 0.42256033, 0.4278562, 0.2736489, 0.17991543, 0.37956297, 0.55612427, 0.38285524, 0.33660066, 0.12338347, 0.32375923, 0.31218332, 0.16168252, 0.15730497, 0.39093292]
GOLD TOK: 	 []
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'proof of alien life ? scientists make amazing breakthrough with distant star'
GOLD SEQ: 	 b'proof of alien life ? scientists make amazing breakthrough with distant star'
PRED SEQ:	 b'proof of alien life ? scientists make a breakthrough with distant star'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.004950773, 0.09241828, 0.10613781, 0.17654578, -0.07729857, -0.07554418, 0.017165482, 0.13902661, 0.09263444, 0.07397139, 0.11388076, 0.10829842]
GOLD TOK: 	 []
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'man shot dead by police during stand - off in cambridgeshire'
GOLD SEQ: 	 b'man shot dead by police during stand - off in cambridgeshire'
PRED SEQ:	 b'police shot dead by police during stand - off in cambridgeshire'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07479344, 0.13617015, 0.11417672, 0.44700313, 0.05437343, 0.13133754, 0.051743895, -0.050843105, -0.012977466, -0.036757834, -0.026262462]
GOLD TOK: 	 []
PRED TOK: 	 [['police']]
################################################################################
IN SEQ: 	 b'pip ##pa and james matthews sc ##off kangaroo in po ##sh sydney restaurant'
GOLD SEQ: 	 b'pip ##pa and james matthews sc ##off kangaroo in po ##sh sydney restaurant'
PRED SEQ:	 b'pip ##pa and james matthews sc ##off kangaroo in sydney restaurant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06044364, 0.106634825, 0.12950094, 0.36085713, 0.19168295, 0.24484044, 0.025815055, 0.23149061, 0.34486344, 0.2738137, -0.1003287, 0.17124929, 0.2817917]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"liz hurley ' s fashion range pays indian workers just 3 . 50 to make 51 ##3 designer dresses"
GOLD SEQ: 	 b"liz hurley ' s fashion range pays indian workers just 3 . 50 to make 51 ##3 designer dresses"
PRED SEQ:	 b"liz hurley ' s fashion range pays indian workers 3 . 50 to make 51 ##3 designer dresses"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1951421, -0.11906193, 0.13457562, 0.23202208, 0.3021752, 0.3841431, 0.12863119, 0.25514412, 0.05523175, -0.19016485, 0.024546236, -0.04507804, -0.051838323, 0.20766127, 0.11494991, 0.104309745, 0.25354272, 0.37183675, 0.28518605]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'brave lass risks life in 40 mile lava trek after tragic twin baby death'
GOLD SEQ: 	 b'brave lass risks life in 40 mile lava trek after tragic twin baby death'
PRED SEQ:	 b'brave lass risks life in 40 mile lava trek after twin baby death'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.054538496, 0.042058446, 0.03157828, 0.31128547, 0.26669833, -0.008232892, 0.16998823, 0.25719, 0.32062897, 0.2286797, 0.26747575, 0.29402074, 0.26979214, 0.3535756]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : g ##lo ##ating video shows isis handing out sweets after russian air crash tragedy'
GOLD SEQ: 	 b'watch : g ##lo ##ating video shows isis handing out sweets after russian air crash tragedy'
PRED SEQ:	 b'watch : g ##lo ##ating video shows isis handing out sweets after russian air crash'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.23986505, 0.22074188, 0.5200685, 0.17265666, 0.12722078, 0.45406926, 0.46148664, 0.31228337, 0.3471351, 0.4110901, 0.2888788, 0.47108158, 0.38561475, 0.4327629, 0.52612245, 0.41923606]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : shocking brawl breaks out in rooster ##s take ##away after brutal head ##bu ##tt'
GOLD SEQ: 	 b'watch : shocking brawl breaks out in rooster ##s take ##away after brutal head ##bu ##tt'
PRED SEQ:	 b'watch : brawl breaks out in rooster ##s take ##away after head ##bu ##tt'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.059411567, 0.009978775, 0.040628023, 0.21197161, 0.1104123, 0.16586214, 0.32230356, 0.009939395, -0.016463347, 0.13812026, 0.24343549, 0.21351454, 0.40786493, 0.022576869, 0.12371634, 0.110663734]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'isis uncover hidden palace of biblical king revealing 2 , 600 - year - old secrets'
GOLD SEQ: 	 b'isis uncover hidden palace of biblical king revealing 2 , 600 - year - old secrets'
PRED SEQ:	 b'isis uncover hidden palace of the king revealing 2 , 600 - year - old secrets'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.019457214, 0.09223019, 0.29065055, 0.1370963, 0.21779865, 0.19551966, 0.13035424, 0.1158406, 0.1390419, -0.51510394, 0.028239995, 0.13325155, 0.1253457, 0.07154336, 0.34197956, 0.15872806]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b"ancient pyramid ##s older than egypt ' s found ##in poland"
GOLD SEQ: 	 b"ancient pyramid ##s older than egypt ' s found ##in poland"
PRED SEQ:	 b"ancient pyramid ##s older than egypt ' s found ##in poland"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.31172588, 0.26655036, 0.38673145, 0.35185522, 0.33880094, 0.26147303, 0.22088131, 0.28027683, 0.12096238, 0.11062515, -0.0072739683]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'facebook users warned against accepting friend request from this girl'
GOLD SEQ: 	 b'facebook users warned against accepting friend request from this girl'
PRED SEQ:	 b'facebook users warned against accepting friend request from this'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.041949414, 0.074308924, 0.09613898, 0.31844229, 0.3461911, 0.43615645, 0.38089135, 0.38209513, 0.33969826, 0.3032536]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'shock discovery as lost species of humans from 100 , 000 years ago uncovered'
GOLD SEQ: 	 b'shock discovery as lost species of humans from 100 , 000 years ago uncovered'
PRED SEQ:	 b'discovery as lost species of humans from 100 , 000 years ago uncovered'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06426913, 0.15649736, 0.107551, 0.30114883, 0.22806996, 0.23807502, 0.19816025, 0.25900817, -0.0018720925, -0.29902405, 0.062433176, 0.08750178, 0.22526164, 0.18762527]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"elite ' isis hunters ' unleashed : putin strengthen ##s grip on syria with sinister special unit"
GOLD SEQ: 	 b"elite ' isis hunters ' unleashed : putin strengthen ##s grip on syria with sinister special unit"
PRED SEQ:	 b"elite ' isis hunters ' unleashed : putin strengthen ##s grip on syria with special unit"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.016689941, 0.1192295, 0.057088606, 0.019472264, -0.15187113, 0.20651594, 0.18460608, -0.007294446, 0.28904322, 0.15067624, 0.02745498, 0.057077646, -0.017873172, 0.19238463, 0.12958498, 0.19174655, -0.012423873]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"shan ##a gr ##ice murder : judge blasts police ' failures ' as killer jailed for minimum 25 years"
GOLD SEQ: 	 b"shan ##a gr ##ice murder : judge blasts police ' failures ' as killer jailed for minimum 25 years"
PRED SEQ:	 b"shan ##a gr ##ice murder : judge blasts police ' failures ' as killer jailed for minimum 25 years"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.111210346, 0.23540293, 0.4275917, 0.24957791, 0.3134982, 0.18286562, -0.014717728, -0.18575677, -0.24482821, -0.15388897, -0.12000247, -0.09777992, -0.10873482, 0.37723494, 0.32703298, 0.24726595, 0.2862731, 0.21550664, 0.2821919]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'geek ##y b ##lok ##e has sex with half - naked kim k look ##ali ##ke and his girlfriend watches'
GOLD SEQ: 	 b'geek ##y b ##lok ##e has sex with half - naked kim k look ##ali ##ke and his girlfriend watches'
PRED SEQ:	 b'b ##lok ##e has sex with half - naked kim k look ##ali ##ke and his girlfriend watches'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.35789496, 0.5859827, 0.58056545, 0.3270655, 0.6751238, 0.436141, 0.35736683, 0.4880343, 0.45139754, 0.5211061, 0.5279968, 0.418258, 0.34505922, 0.44530904, 0.29505494, 0.40239596, 0.645229, 0.5342351, 0.56268466, 0.5756829]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"theresa may puts brakes on philip hammond ' s ' white van man ' national insurance hike"
GOLD SEQ: 	 b"theresa may puts brakes on philip hammond ' s ' white van man ' national insurance hike"
PRED SEQ:	 b"theresa may puts brakes on philip hammond ' s ' white van man ' national insurance hike"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2210242, 0.36683005, 0.508575, 0.36558348, 0.40330452, 0.47470698, 0.49552393, 0.24110541, 0.33358437, 0.24261498, 0.43688574, 0.23183002, 0.41340905, 0.19780442, 0.3488582, 0.29554477, 0.32307795]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hacked : cyber warriors take control of nasa drone mid ##flight'
GOLD SEQ: 	 b'hacked : cyber warriors take control of nasa drone mid ##flight'
PRED SEQ:	 b'hacked : cyber warriors take control of nasa drone mid ##flight'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0513092, 0.5452706, 0.6355418, 0.50765604, 0.5175551, 0.3842799, 0.18452446, 0.09953147, 0.15313956, 0.27444553, 0.15428886]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"jailed : czech thug who claimed baby killed ' by ghosts ' admits murder"
GOLD SEQ: 	 b"jailed : czech thug who claimed baby killed ' by ghosts ' admits murder"
PRED SEQ:	 b"jailed : czech man who claimed baby killed ' by ghosts ' admits murder"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.07909045, 0.14901084, 0.057032116, -0.005357221, 0.058831297, 0.16699539, 0.03901542, 0.34383547, -0.119427875, 0.22591628, 0.20745721, 0.027802035, -0.03072292, 0.20677464]
GOLD TOK: 	 []
PRED TOK: 	 [['man']]
################################################################################
IN SEQ: 	 b'unbelievable clip : mach ##ete wielding - man run over twice but continues rampage'
GOLD SEQ: 	 b'unbelievable clip : mach ##ete wielding - man run over twice but continues rampage'
PRED SEQ:	 b'clip : mach ##ete wielding - man run over twice but continues rampage'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.39169562, 0.4035515, 0.45044252, 0.35157382, 0.47834295, 0.37498367, 0.55613434, 0.72585034, 0.37392712, 0.2616739, 0.5155765, 0.6301857, 0.54094756, 0.5708461]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"breaking : terror fears as ' axe ##man goes on rampage ' in german train station"
GOLD SEQ: 	 b"breaking : terror fears as ' axe ##man goes on rampage ' in german train station"
PRED SEQ:	 b"breaking : terror fears as ' axe ##man goes on rampage ' in german train station"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21133259, 0.34841743, 0.4869285, 0.25552297, 0.39819524, 0.3623977, 0.26619568, 0.533138, 0.38886982, 0.5172195, 0.47903815, 0.3678482, 0.6571705, 0.6416758, 0.6147871, 0.5950916]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"brit shot by police in spain after ' pulling knife on ex - partner '"
GOLD SEQ: 	 b"brit shot by police in spain after ' pulling knife on ex - partner '"
PRED SEQ:	 b"h was shot by police in spain after ' pulling knife on ex - partner '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.069810465, 0.13283372, 0.37888375, 0.17369638, 0.37385827, 0.42407548, 0.19146276, 0.27933973, 0.022528857, 0.19804642, -0.091103375, 0.38360643, 0.2919845, 0.32900393, 0.08326398]
GOLD TOK: 	 []
PRED TOK: 	 [['h', 'was']]
################################################################################
IN SEQ: 	 b"nasa astronaut ' saw bodies of dead aliens ' in sensation ##al ro ##swell revelation"
GOLD SEQ: 	 b"nasa astronaut ' saw bodies of dead aliens ' in sensation ##al ro ##swell revelation"
PRED SEQ:	 b"nasa astronaut ' saw bodies of dead aliens ' in ro ##swell revelation"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15698929, 0.15955643, 0.113025695, 0.2458508, 0.30080518, 0.45832324, 0.37456518, 0.22548509, 0.19712238, 0.43215892, 0.38996327, 0.42645833, 0.41199642, 0.29406977, 0.32325402]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : huge explosion inside church leaves at least 21 dead , 42 injured'
GOLD SEQ: 	 b'breaking : huge explosion inside church leaves at least 21 dead , 42 injured'
PRED SEQ:	 b'breaking : explosion inside church leaves at least 21 dead , 42 injured'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2271057, -0.1654213, -0.0143729, 0.04600893, -0.047238324, -0.07955475, 0.19096822, -0.014639556, -0.014247283, 0.1157369, 0.11833763, -0.04222311, -0.058505192, 0.06819947]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'graphic vi ##d : savage pack of wild dogs tear baby imp ##ala apart in seconds in raven ##ous attack'
GOLD SEQ: 	 b'graphic vi ##d : savage pack of wild dogs tear baby imp ##ala apart in seconds in raven ##ous attack'
PRED SEQ:	 b'graphic vi ##d : savage pack of wild dogs tear baby imp ##ala apart in seconds in raven ##ous attack'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.26463768, 0.3238141, 0.4759857, 0.19900364, 0.3503704, 0.34160557, 0.5441803, 0.40162224, 0.2567268, 0.38455856, 0.33676645, 0.54209626, 0.42558056, 0.45139122, 0.39701912, 0.57365596, 0.5105746, 0.42383176, 0.43318367, 0.5071282]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"revealed : yorkshire rip ##per ' s terrifying confession to ' go ##bs ##mack ##ed ' wife"
GOLD SEQ: 	 b"revealed : yorkshire rip ##per ' s terrifying confession to ' go ##bs ##mack ##ed ' wife"
PRED SEQ:	 b"revealed : yorkshire rip ##per ' s confession to ' go ##bs ##mack ##ed ' wife"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.055751428, 0.08994538, 0.006806724, 0.107909516, 0.15298162, 0.10308115, 0.3043825, 0.2795296, 0.2673157, 0.052775517, 0.20768994, 0.15488315, 0.32353765, 0.21266429, 0.4122162, 0.36751056, 0.38621825]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"' big ben is next ' london terror attack predicted in chilling video last month"
GOLD SEQ: 	 b"' big ben is next ' london terror attack predicted in chilling video last month"
PRED SEQ:	 b"' big ben is next ' london terror attack predicted in video last month"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.06731449, 0.31284088, 0.39452612, 0.33050302, 0.29036957, 0.2666207, 0.45887932, 0.71939516, 0.57463527, 0.30650014, 0.4712732, 0.16934657, 0.46547356, 0.55179405, 0.49234748]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"bomb squad sw ##oop in manchester as cops warn ' avoid the area '"
GOLD SEQ: 	 b"bomb squad sw ##oop in manchester as cops warn ' avoid the area '"
PRED SEQ:	 b"bomb squad sw ##oop in manchester as cops warn ' avoid the area '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.036219753, 0.039615393, 0.24005505, 0.12932445, 0.34685117, 0.34414, 0.10207148, -0.18375567, -0.017013203, 0.039486736, -0.17156488, 0.058425136, -0.11925391, -0.15869784]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hero sas veterans rejoin force to help stop brutal isis terror attack in britain'
GOLD SEQ: 	 b'hero sas veterans rejoin force to help stop brutal isis terror attack in britain'
PRED SEQ:	 b'hero sas veterans rejoin force to help stop isis terror attack in britain'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1886338, -0.048468523, -0.05847776, -0.18839279, -0.1566783, -0.028382812, 0.13977705, 0.10846025, 0.12155537, 0.23511052, 0.37536833, 0.2888822, 0.18148299, 0.3939254]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'disabled army veteran laid in hospital while thugs stole his precious medals'
GOLD SEQ: 	 b'disabled army veteran laid in hospital while thugs stole his precious medals'
PRED SEQ:	 b'disabled army veteran laid in hospital while thugs stole his precious medals'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13644274, 0.22643384, 0.45001623, 0.4817299, 0.09054011, 0.2462562, 0.24224189, 0.20469365, 0.26333946, 0.20085815, 0.43233225, 0.42094523]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"fra ##t lads ' smirk ##ing mug ##shot ##s after beating student to within an inch of his life"
GOLD SEQ: 	 b"fra ##t lads ' smirk ##ing mug ##shot ##s after beating student to within an inch of his life"
PRED SEQ:	 b"fra ##t lads ' mug ##shot ##s after beating student to within an inch of his life"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03100431, -0.0058301985, -0.084177226, 0.0014346242, -0.00613223, 0.19790898, 0.14455308, 0.06359003, 0.32353562, 0.13794076, 0.08881446, 0.22138837, 0.3548156, 0.12512214, -0.14479667, 0.16253561, 0.4158752, 0.15794806, 0.3546736]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"mo ##yes in prem ' slap ' storm : boss threatens female match of the day reporter"
GOLD SEQ: 	 b"mo ##yes in prem ' slap ' storm : boss threatens female match of the day reporter"
PRED SEQ:	 b"mo ##yes in prem ' slap ' storm : boss threatens female match of the day reporter"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06209229, -0.08154145, -0.1156927, 0.12949032, 0.062057473, -0.06290475, 0.20023358, 0.1191745, 0.046877183, 0.21493319, 0.15072177, 0.26428908, 0.4411892, 0.23716873, 0.26322696, 0.315896, 0.12179172]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"leeds murder probe : cops find man ' s body after mum and two children killed at home"
GOLD SEQ: 	 b"leeds murder probe : cops find man ' s body after mum and two children killed at home"
PRED SEQ:	 b"leeds murder probe : cops find a person ' s body after mum and two children killed at home"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
